sentiment,tweet_text
0.0,"USRTOK danke für die schnelle info , aber eure unterschlagungen von wichtigen nachrichten in der tagesschau machen euch zum helfer von terroristen in deutschland.bürger in sicherheit wiegen die nicht vorhanden ist!"
0.0,du sollst keinen anderen gott haben neben mir. mal schauen wann gottes worte als rassismus dargestellt werden.
1.0,USRTOK ich kenne noch einige namen unter den spdler die ebenfalls zu grabe getragen müssten-sollten-werden....
0.0,wir geben unsere identität nicht auf. bedenke das ende bei all dieser beliebigkeit. #islamfeiertag
0.0,USRTOK USRTOK auch in deutschland hungern kinder.
0.0,"USRTOK und hätten wir regiert und alle zusagen gebrochen, dann wäre hier heute von umfallen und postengeilheit die rede gewesen! 😂 #beliebigkeit cl"
0.0,#trump ist als politiker kein schwätzer sondern handelt vom ersten tag an. |lbr| und geopolitisches denken des letzten jahrhunderts ist ihm fremd
0.0,"in abwandlung der kanzler worte sage ich: |lbr| cdu spd-folgt diesen leuten nicht, sie regieren schon immer und die armutschere ist größer denn je"
1.0,"USRTOK ach gott mehr nicht,was gedenkt man dagegen zutun,nach dem gg dürfen nur deutsche staatsbürger protestieren .was hier geschehen ist ,ist ein aufstand von radikalen moslems ,da sage ich nur einsammeln und heimschicken!"
0.0,die zahl arabischer rekruten in der israelischen armee steigt rasant. die USRTOK hat eine dokumentation über sie gedreht. #israel USRTOK
0.0,"USRTOK kein kohleausstieg,wenn dadurch unsichere atomenergie aus dem ausland importiert werden muss.unsere sicheren atomkraftwerke werden abgeschaltet und unsichere im ausland gebaut.auch die winkrafträder sind nur eine verschandelung der natur.das ausland lacht."
0.0,USRTOK die deutschen checken es einfach nicht
0.0,USRTOK USRTOK so ist es....wir haben maria vergessen...als hätte sie nie existiert....schämt euch...!
0.0,"USRTOK USRTOK dann können wir vielleicht eine konstruktive diskussion führen. wenn sie mit unterstellungen arbeiten, dann wird das nicht möglich sein. wir laden sie zu einem virtuellen türkischen tee ein."
0.0,"USRTOK höchste zeit und in gemeinsamer internationaler kraftanstrengung, sowie gebotener härte."
0.0,USRTOK USRTOK die deppen der nation....österreicher lachen am lautesten....😃😃
0.0,"USRTOK ich lernte im jurastud. noch,dass d. täter nicht therapierbar sind,was d. praxis meistens beweist. ewig aus dem verkehr ziehen"
1.0,USRTOK USRTOK USRTOK USRTOK USRTOK hubertus....was hab ich mit adolf zu tun? |lbr| und ich erstarre bei beim wort nazi auch nicht in schuldgefühlen wie der rest nur weil ich🇩🇪liebe
0.0,USRTOK USRTOK das ist in deutschland nicht strafbar...nur wenn deutsche diebstähle begehen dann ist es anders...
1.0,"USRTOK wir haben keine meinungsfreiheit ,von wem soll die auch kommen wenn man eine in der ddr ausgebildete bundeskanzlerin hat .mielke hätte sich totgelacht.ich glaube am grab hört man in 🎉"
0.0,USRTOK USRTOK wir sind nunmal weltmeister...in aufarbeitung....aber endlose pfeifen in vorkehrungen. |lbr| ich halte alle politiker für helfershelfer....sie gehören auf die anklagebank und nicht in überbezahlten ruhestand...! |lbr| USRTOK .....
0.0,USRTOK USRTOK ich glaube wirklich das ein mitgliederentscheid die partei eint 👍
0.0,"USRTOK doch nicht nur die planeten! es geht um das leben, das universum und den ganzen rest. |lbr| ich muss jetzt los, die milchstraße retten."
1.0,infotweet: antifaschisten sind alle vernachlässigte scheidungskinder
0.0,was machte luther eigentlich an einem brückentag? und was würde er heute über die türken und die juden sagen? |lbr| #reformation_neu_denken!
1.0,USRTOK USRTOK und die linken anarchisten üben in hamburg 👊🔥
0.0,zur eröffnung der #israelpedia sind unsere gedanken bei den menschen in israel |lbr| #dig #frankfurt #israel
1.0,USRTOK das ist einfach so...aber noch lange kein grund deutschland mit fremden männern zu fluten....
1.0,USRTOK juden und christen werden als schweine und affen bezeichnet.. aber das steht ja nur im koran. die suren erspare ich mir jetzt. lesen.....
1.0,USRTOK kann man diesen ganzen scheiß noch glauben..?
1.0,USRTOK bla bla bla! lügenpresse verkauft uns mal wider für dumm! alles gespieltes theater!!
1.0,USRTOK das kann doch nur ein fake sein !!! die sind sowenig deutsch wie erdogan ! nu gehts wirklich los ! auch im tv der msm nur noch nichtdeutsche ! 🤬🤬🤬☠️☠️☠️🤬🤬🤬
0.0,"afghanistan ist ein sicheres land, wenn deutschland, england u. |lbr| frankreich als sicher bezeichnet werden. leider gab es anschläge."
1.0,"#illner das söder nun auf #afd programm macht und die wahrheit ausspricht,welche nur bei der afd rassistisch und polemisch,bei söder aber ""bürgernahe erkenntnis"" ist,scheint #87prozent überhaupt nicht zu stören. |lbr| ja...so sind sie.die heuchler und doppelmoraler."
1.0,"USRTOK sind selbst schuld die dummen girlies die unbedingt modell werden wollen,"
1.0,USRTOK USRTOK spätestens seit blümchen wissen wir welche waschlappen in der regierung sitzen....😃😃
1.0,ja das ist was kinder so aufem kindergartenspielplatz so anstellen und daraus ist der glaube der moslems endstanden.
0.0,"7 tage ferienfreizeit mit polnischen kindern u. jugendlichen. sie erinnerten mich daran, was es heißt, stolz auf sein land zu sein 😜"
0.0,"wir sind entsetzt von der vielzahl menschenverachtender, stigmatisierender und rassistischer kommentare unter unserer berichterstattung zur heutigen kundgebung. strafrechtlich potentiell relevante äußerungen werden dokumentiert und ggf. zur anzeige gebracht. #berlin #jerusalem"
0.0,USRTOK hat die jemand dafür angezeigt?
1.0,"merkel: ""die bürger haben keine lust auf zuständigkeitsdebatten"" ??? eben ein verlogenes miststück mit ausreichender denunziantenerfahrung😜"
0.0,"USRTOK USRTOK welche warnung? ich lese es als unterstützung unseres kurses! es gibt keinen satz im text, der diesem widerspricht. cl"
1.0,USRTOK abschieben es sind doch nur moslems!!
0.0,jeder dem deutschland am herzen liegt soll afd wählen
0.0,"USRTOK jeder der hier die polizei schlecht macht, oder verbal angreift, sollte wissen das sie jedesmal für eine falsche toleranz politik unserer regierung den kopf hin halten. jeder polizist möchte nach getaner arbeit auch gerne unversehrt zu seiner familie nach hause gehen können."
0.0,"änderungsantrag, dass §83 sgo komplett gestrichen wird, wird abgestimmt &amp; abgelehnt"
0.0,"USRTOK die propaganda wirkt leider bei den deutschen perfekt, da sie glauben der onkel von der tagesschau bringt echte nachrichten"
0.0,USRTOK bayern sollte auch aus deutschland austreten
1.0,"USRTOK USRTOK USRTOK mccain erwies sich bisher generell als mit haut überzogener, verlogener politischer dreckshaufen"
1.0,was heißt hier flüchtlingseinrichtungen? die meisten der jungen |lbr| männer sind keine flüchtlinge. sie sind rücksichtslose invasoren.
1.0,USRTOK von mir aus gibt es dieses intersexuell aber die eigentlichen geschlechter sind männlein und weiblein
0.0,"USRTOK zu einem anderen ergebnis kam. vielleicht erschien ihr (der community) der kontext klarer, keine ahnung."
0.0,auch durch eure zensur in deutschland werdet ihr nichts ändern. wie sehr in deutschland zensiert wird kann ich hier im ausland sehr gut erkennen. |lbr| #illner
1.0,"merkel: ""ich sehe nicht, was wir anders machen sollten"" &gt; wie hohl muss man eigentlich sein, um nichts zu begreifen frau murksel 🤢"
0.0,USRTOK USRTOK ich spreche ausschließlich von mir 😜
0.0,USRTOK so früh waren die schon auf?! was haben die vor? sorgen!!!
1.0,"USRTOK USRTOK USRTOK dann solltet ihr grünes pack, eure bodygards verdoppeln!"
0.0,"gestern wieder bis kurz vor mitternacht im konrad-adenauer-haus der cdu mit der union. |lbr| heute steht der letzte tag der sondierungsgespräche im heimischen willy-brandt-haus bevor. |lbr| die intensität nimmt zu und seit günter grass wissen wir, dass der fortschritt eine schnecke ist."
0.0,USRTOK USRTOK im harz schmeckt es weltklasse. da fülle ich mir immer hunderte flaschen ab. 😘
0.0,bayern = sicherheitsland nummer 1 - sicherheit durch stärke. #tvduell
0.0,"ich bin katholik und ich bin mir felsenfest sicher, dass dies nicht die meinung der überwältigenden mehrheit der christen in deutschland ist"
0.0,USRTOK USRTOK USRTOK hab ich auch nicht verstanden :-)
0.0,ich gratuliere bundestagspräsident schäuble zur wahl. er tritt das politische erbe von norbert lammert + ein hochwichtiges amt an.
0.0,"innenminist. mv (caffier) federführend im npd-verbotsverfahren. gestern optimist für verbot, heute stolz auf den rechtsstaat, so geht cdu😂😂😂"
0.0,"USRTOK das ist leider nicht ganz klar. unser ziel war es etwas für alle zu schaffen, die nicht mann oder frau sind. mal sehen was der gesetzgeber draus macht #dritteoption"
0.0,USRTOK USRTOK ein paar von den großen medien haben es tatsächlich hinbekommen. der USRTOK zb. mein ich.
1.0,USRTOK araber haben schon ekelhafte fressen....!
0.0,USRTOK lindner hat es nur verdeutlicht was mittlerweile alles wissen....die grünen sind zu nichts zu gebrauchen...!
0.0,herzlichen glückwunsch zu 70 jahren fu bayern! danke für euer engagement! #csu #frauenpower
0.0,"USRTOK USRTOK wer die wm als politiker ""guten gewissens"" besuchen will, der muss das mit einem aktiven einsatz für die politisch verfolgten in russland und für ein ende des krieges und der besetzung in der ukraine verbinden. das wäre auch gut für russland."
1.0,USRTOK USRTOK den kleber sollten sie nicht anzeigen sondern *zensiert*!
0.0,USRTOK erstaunt? ich nicht. friedensnobelpreisträger sind so. -siehe obama - unter ihm gab es die meisten kriege.
0.0,USRTOK doch genau das bin ich - sie scheinen aber zu den 13 % vom anderen ufer zu sein
0.0,wichtige info für eure pride week-planung: die für heute geplante queer halligalli party auf dem dom kann leider nicht stattfinden.
0.0,USRTOK man kann auch alles übertreiben! 😂😂😂😂😂
0.0,eines tages wird sich russland mit china und einige andere länder verbünden und das war es denn mit den größenwahn von amerika.
0.0,"USRTOK USRTOK welcher staat, welchen meinst du!?"
0.0,"USRTOK USRTOK das schlimme daran ist, das dieser sogenannte eid, nicht mehr als ein lippen bekenntnis ist und man merkel bei zuwiederhandlung nicht einmal strafrechtlich belangen kann."
0.0,der neue #newsletter ist da! thema ist unter anderem die rede von USRTOK netanyahu vor #nato-botschaftern in #israel
1.0,liebe USRTOK den niedergang der ösi-grünen und diesen herrn pilz will ich von USRTOK erklärt bekommen. geht da was heute?
0.0,"worterklärungen: |lbr| vierling = 9,26 cdm |lbr| imber = ingwer |lbr| lott = 16 g |lbr| musgatnus = muskatnuss |lbr| nägl = nelken"
1.0,"#islamisierung ""zusammenstöße zw gläubigen (richtig: #islamisten) &amp; sicherheitskräften"" - #tagesschau sendet bereits im #scharia-modus"
0.0,"USRTOK USRTOK also ich finde, damals konnte man das durchaus tragen. ;-)"
0.0,USRTOK USRTOK spd erwacht nicht mehr aus koma...das was wir sehen sind nur die letzte zuckungen eines dahinsiechenden....! |lbr| schon gut so...r.i.p.....spdler...👏👏
0.0,"USRTOK sie meinte, ich solle die mäuse allein fangen - zu flink die viecher, ich würde verhungern 😂"
1.0,"der einzige, der sich noch darüber freut, dass merkel auf ihrem stuhl klebt |lbr| ist der beginnende |lbr| dekubitus."
0.0,"edel sei der mensch, hilfreich und gut - nicht eine dieser charaktereigenschaften kann merkel für sich beanspruchen."
0.0,"die grünen sollten sich lieber auf die themen konzentrieren, statt posten einzufordern."
1.0,"pervers. die türken fordern gerechtigkeit. anstatt dort, wo sie die |lbr| ungerechtigkeit gewählt haben, fordern sie das in österreich. haut ab."
0.0,"USRTOK USRTOK USRTOK die menschen glauben an den weihnachtsmann, gerichte sind mit nichten unabhängig, in der brd gibt es ausschließlich freiwillige ausnahmegerichte."
1.0,"USRTOK kann ja mit kahane, de maizire wagenknecht, trittin, und eckhard, maas. eine neue sed partei gründen. hauptsache imerika ist weg."
0.0,na kameraden alles gut bei euch ich hoffe ihr habt nen schönen abend
1.0,"USRTOK USRTOK dieser typ erinnert mich in agitation und erscheinung an subjekte der ns zeit, er wird zusammen mit der raute unser grab schaufeln, deutschland und die deutschen werden zugunsten eines totalitären eu systems vollständig vernichtet werden"
1.0,"streit um flüchtlings-obergrenze - so könnten cdu und csu ihr gesicht wahren 😜 wenn eine hässliche fratze gemeint ist, geht`s 😜"
0.0,"heute ist der dritte tag der sondierungsgespräche mit der union. |lbr| gestern ganztägig bis mitternacht verhandelt. konzentrierte, teilweise schwierige und kontroverse, aber weitgehend professionelle verhandlungen. |lbr| wie immer gilt: nichts ist vereinbart, bevor alles vereinbart ist."
0.0,USRTOK USRTOK was willst du uns leaken oder was lel
1.0,"USRTOK USRTOK USRTOK von parteien hat das deutsche volk die schnauze voll, schon gar von linken. |lbr| wenn wir heute den begriff „kriminelle vereinigung „ hören denken die meisten an den sogenannten bundestag/bundesregierung."
0.0,"USRTOK USRTOK das wird das problem sein, statt bildung bekommen sie „aus-bildung“"
0.0,"USRTOK mit wenigen maus klicken im internet, hatten sie frau maischberger heraus finden können das die aussage von herr hollstein eine lüge war."
0.0,USRTOK USRTOK USRTOK USRTOK also mich macht es froh wenn leute ins nachdenken kommen. dann haben wir ein großes ziel erreicht! #dritteoption
0.0,USRTOK jedes 4 kind in deutschland ist arm. rentner sammeln flaschen. familien bekommen keine wohnungen. arbeiten bis 67. aber wir holen uns noch mehr sozialfälle ins land!!! alles zum wohl des deutschen volkes. zeit dieses land zu verlassen.
1.0,USRTOK spd ist der größte dreck geworden....stegner und schulz so ziemlich das lächerliste was es zu bieten hat...!
0.0,USRTOK USRTOK wetten.du bist so ein verbittertes scheidungskind
0.0,"USRTOK die pegidareden in dresden sind hörenswert. wenn da dumme nazis aufspringen, sollte man trotzdem nicht alle über einen kamm scheren. beim islam können sie dann plötzlich immer differenzieren..."
0.0,USRTOK USRTOK USRTOK USRTOK USRTOK was wollen diese linken eigentlich damit erreichen ?
0.0,"USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK nicht so gereizt, das bka hat das gutachten gemacht - nicht ich. und da der internationale druck groß war, musste der spiegel was dazu schreiben."
1.0,"türken, die sich die österreichische staatsbürgerschaft erschlichen haben |lbr| müssen aufgedeckt und verurteil werden. davonjagen."
0.0,"USRTOK da er nicht in einer kirche oder kirchlichen stätte aufgetreten ist, fällt das nicht in unsere zuständigkeit."
1.0,"unsere jetzige regierung ist verbrecherisch,hochkriminell,antideutsch,korrupt und geldgierig. also ?? was soll man mit so einen scheiß ??"
0.0,USRTOK merkel geht wohl die muffe.
1.0,dortmund haut wieder auf die kacke ! die wollen die ganzen braunhäutigen verjagen mit dem slogan bunt statt braun !! bravo !!!
0.0,USRTOK USRTOK ich freue mich .es gibt manchmal doch gerechtigkeit!
1.0,USRTOK ich schäme mich in solchem verbrecherstaat mit deutschfeindlichen ganoven-richtern und korrupten politikern zu leben!
1.0,"USRTOK ist doch wahr, denn dieses dicke etwas bekommt kaum zwei zusammenhängenden sätze heraus und von sinnvoll rede ich garnicht erst 😜"
0.0,"USRTOK die können mich weiterhin erreichen über twitter, google+, skype, whatsapp etc. kein mensch muss facebook haben."
0.0,USRTOK :d wir lassen halt nichts aus und arbeiten und langsam in die neuzeit vor. ;-)
0.0,USRTOK USRTOK hetze haben weder fakten noch argumente je ersetzt.
1.0,USRTOK USRTOK USRTOK |lbr| die staatsanwaltschaft/richter führen nur anordnungen von oben aus! |lbr| die politiker aus dem bmi sinds
1.0,die eu dient zur aushebelung der selbstbestimmung der europ. völker |lbr| die migranten sollen eine wählermehrheit für die eu wahl schaffen |lbr| dann wird alles als freier wille der nationalstaaten dargestellt. |lbr| ziel: zentralregierung in brüssel 👎👎👎
0.0,USRTOK nicht nur posten.... kosten mitteilen denn alles andere läuft nicht. nicht einmal diese website
1.0,"juhu, der bayer ohne eier will wieder einmal alles nach der wahl richten 😂😂😂 ich pinkel mir vor lachen gleich ein 😂😂😂"
0.0,USRTOK wer meint typisch deutsch sei zwangsläufig mit nazi zu vergleichen ...der ist hirnlos |lbr| typisch deutsch?...z.b...wir wurden weltmeister und millionen von nazis haben gejubelt..? |lbr| typisch deutsch?...z.b...jeder der unsere hymne singt
1.0,dass wir diese ganzen is-kämpfer haben ist ausschließlich die |lbr| schuld der amerikaner. scheinheiliges volk.
1.0,migrantenanteil in großstädten |lbr| münchen 36% |lbr| frankfurt 43% |lbr| stuttgart 38% |lbr| nürnberg 37% |lbr| köln 31% |lbr| hamburg 27% |lbr| berlin 25% |lbr| der westen so gut wie verloren wenn sich nix ändert
0.0,USRTOK USRTOK merkel bekommt angst und versucht jetzt mit allen mitteln ihre macht zu erhalten!!
0.0,USRTOK beweisen sie gott und melden sie sich bitte wieder. die beweispflicht obliegt nicht den atheisten.
0.0,USRTOK das ist ein ultra wichtiger punkt und wir hoffen sehr dass die unnötigen operationen aufhören. aber da ist noch viel arbeit und aufklärung notwendig
1.0,"USRTOK USRTOK in diesem kiez sollten besser 1000 wahre deutsche leben ,als dieses pack von linken anarchisten!"
0.0,USRTOK obwohl göring kein interesse hat etwas gutes zu tun ist sie trotzdem nicht unser problem... |lbr| sie spricht nur zu einer kleiner gruppe von menschen ....die sind das problem und das sind deutsche..leider!
0.0,"USRTOK USRTOK auch wir im enbw -land haben viel zu hohe stromkosten ,dank erneuerbarer energie,hast du wind hast du strom ,hast du kein wind hast du hoffentlich kerzen !"
0.0,USRTOK was hat das mit meinem anfangstweet zu tun? troll woanders.
1.0,USRTOK USRTOK die frauen die nach geschäftsschluss mit öffentlichen verkehrsmitteln nach hause fahren müssen tun mir leid.und wenn man dann durch käfertal und viernheim nach weinheim fahren muss hat man das gefühl die rnv fährt durch den kongo.
1.0,USRTOK jerusalem war schon immer die hauptstadt von israel genauso wie die palästinenser schon immer terroristen waren.
0.0,tja liebe altparteien. hättet ihr eine deutsch/bürgerfreundliche politik gemacht könntet ihr eure posten behalten |lbr| jetzt muss es #afd richten
0.0,diese aussage wurde in der ard einfach rausgeschnitten!
1.0,"USRTOK was hast du gegen asiaten, du halbnigger?!"
1.0,martin schulz ist 2x sitzen geblieben und hat keinen schulabschluss. |lbr| wie kann denn so ein nulltipper als kanzlerkandidat aufgestellt werden?
0.0,USRTOK fröhlicher gruß aus dem metronom in meine alte heimat 👍
0.0,"erneut bekanntschaft mit linkem philosemitismus aus #deutschland, der bevormundet, gemacht. meinen kritischen retweet der #neonazis vom »3. weg« warf man mir sogar als sympathie vor. dass diese partei doch gegen #juden sei, erklärte man mir oberlehrerhaft. was ein shmock!"
0.0,"USRTOK USRTOK alles zu spät und verlogen, der schaden ist angerichtet, alle parteien müssen weg, das volk ans ruder."
1.0,USRTOK das ist die stadt mit der armlänge.... |lbr| wenn ein volk seine frauen und seine kinder nicht beschützt...welchen wert hat es dann noch..? |lbr| yücel hatte recht....die deutschen taugen nicht viel ..!
1.0,"USRTOK USRTOK ja. da fehlen dir noch 2. und die müssen nicht im kreis w..retweeten, sondern hinausziehen zu den barbaren und ihnen das evangelium predigen. also z.b zu den mullahs, die gerade eine frau steinigen, weil ihr kopftuch verrutscht ist."
1.0,"USRTOK USRTOK wie gesagt. dumme kinder von alt 68er die man besser abgetrieben, oder besser ins klo gewichst hätte. und ich bin kein afd wähler."
1.0,USRTOK wir brauchen dringend einen reset der msm und des grundschulsystems ohne diese verfluchten handsockenpuppen schwingenden ökoantifafeministinnen ! dringlichst !!
0.0,USRTOK USRTOK USRTOK USRTOK sie nennen es hallal. ich nenne es tierquälerei der schlimmsten sorte. und deutsche supermärkte unterstützen so etwas sogar.
0.0,"USRTOK ich schreibe seit 15 jahren dt./pl. eu-projekte, seit 41 jh. habe ich einen pln. familienteil, ich käme nur nach hause 😜"
1.0,"USRTOK hoher anspruch im namen und wurde für zu leicht befunden ! du , für sie reicht einfach der respekt nicht kennst auch den unterschied zwischen einem lieferwagen und einem muslimischen terroristen nicht ! das böse und schlimme daran ist das du das garnicht willst!"
0.0,USRTOK nö. damit hat er ja sogar recht. es ging aber um eine alternative zur quote.
1.0,USRTOK USRTOK was ist den das fette etwas da ..?
1.0,"USRTOK USRTOK was, kurz zu gast bei der küchenschabe, hoffe er hat den kammerjäger dabei"
0.0,"USRTOK wie heißt es doch : ""humor ist, wenn man trotzdem lacht."" 😜"
0.0,USRTOK USRTOK der ist auch älter und anscheinend noch nicht so verstrahlt und lässt mit sich reden
1.0,deutschlands zukunft wird am hindukusch entschieden #spd zitat |lbr| das stimmt. wir haben dort verloren. jetzt fluten die afganen nach deutschland und zerstören es von innen.
0.0,"USRTOK damit schafft man die ursachen nicht ab, die ursachen liegen viel tiefer. ist wie im drogenhandel: wenn man nur den kurier bestraft, ändert sich gar nichts."
0.0,"wenn wir den ""schiffbrüchigen"" konsequent den weitertransport nach |lbr| europa verwehren, werden sie das den anderen per handy melden."
0.0,es geht also doch. österreich macht es uns vor.
0.0,demokratie in spanien? |lbr| wer anderer meinung ist wird entmachtet! |lbr| kämpft für eure freiheit! |lbr| #katalonien
1.0,USRTOK USRTOK kümmert die einen feuchten d....
0.0,USRTOK schäuble als finanzminister war ein desaster. |lbr| und seine tochter wird von der gez bezahlt |lbr| müssen wir wirklich für alle schäubles aufkommen..?
0.0,"wenn die flugzeugführer angst haben vor migranten, müssen die herrschaften eben |lbr| in handschellen abgeschoben werden. wo sind wir denn?"
1.0,"vehement kotzt sich d. cdu üb. nazis in d. afd aus,hatte aber nach 45 nazitäter in d. regierung u behinderte d. aufarbeitung d. 3. reiches 😜"
0.0,martin schulz ist kanzlerkandidat der spd ohne schulabschluss. er ist |lbr| 2 x sitzen geblieben. ist das ihre führungsspitze?
0.0,USRTOK USRTOK aufstand der deutschen? |lbr| niemals! |lbr| mit der wahl wäre es möglich gewesen...aber für einige war das zu anstrengend oder gar überfordernd!
0.0,endlich angekommen. die beschwerde plagt sich immer noch durch den verkehr. #dritteoption
0.0,USRTOK mir war nicht bekannt das deutschland ein kriegsgebiet geworden ist!
0.0,"USRTOK USRTOK na gut. dann nenne mir 5 punkte, die belegen, dass der islam eine friedliche religion ist. und fünf wohltaten mohammends an der menschheit"
0.0,"USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK USRTOK noch schlimmer ist, das die eu die palestina seit jahren finanziell unterstützt"
0.0,"parteienwahlkampf &gt;&gt;&gt; ich fühle mich richtig eingelullt, versprechen, vorhaben, hätten, könnten, wollten - wie immer, nichts als lügen 😜"
0.0,"USRTOK na hoffentlich hat sich der ‚typisch deutsche richter’ nicht auch noch entschuldigt, weil keine weiteren mildernde beweise gefunden wurden"
0.0,USRTOK USRTOK wir haben nicht genug alternativen
1.0,USRTOK USRTOK ...sich damit auch noch brüsten ist schön...dämlich... |lbr| wenn man tief genug gräbt findet man tatsächlich immer noch eine dümmere deutsche...obwohl bei katja an der oberfläche kratzen schon ausreicht....😃😃
0.0,"#islamisierung #scharia beweis: sagen sie öffentl.: ""katholiken sind schlimmer als die pest"" &amp; kein staatsanwalt wird sich um sie kümmern"
0.0,"wer die zuwanderung nach europa alleine auf die einzelstaaten abschiebt, hat aus den letzten jahren nichts gelernt."
1.0,"USRTOK merkel reiht sich nahtlos in die kette deutscher diktatoren ein, die allesamt ihre biographien schönen ließen 😜"
0.0,USRTOK das zeig mir mal mit einem bild.
1.0,USRTOK USRTOK schaut euch einfach die dummen köpfe an....das gehört eindeutig entsorgt...!
0.0,USRTOK USRTOK und was sagt euer #fakenfinder so? |lbr| #ausgruenden
1.0,USRTOK USRTOK schon ein wahnsinn....obwohl nichtmal 1/3 der bevölkerung sie gewählt hat darf sie trotzdem weiter regieren. |lbr| ist zum kotzen!
1.0,"USRTOK USRTOK träume und wünsche...leider |lbr| jamaika-scheisse wird durchgesetzt....dafür sorgen schon die lauch-scheisser |lbr| die bleiben klebend sitzend...der troll joschka hat’s ihnen vorgemacht, die warze roth hat’s perfektioniert ..!"
1.0,"USRTOK USRTOK die gesamte deutschfeindliche asyl-politik der altparteien, provoziert einen bürgerkrieg! die grünen werden als erste vernichtet werden!"
1.0,USRTOK USRTOK die julia hat ja auch 20 kalte lötstellen im kopf. bestimmt ein kind der 68er. sorry aber die hätte man besser ins klo gewichst. da wären die heute noch auf reißen.
0.0,"sonderbehandlung, ""herrenmentalität"", ""blitzsieg"". ernsthaft? welche begriffe kommen als nächstes bei USRTOK über #israel?"
0.0,"USRTOK USRTOK so derbe mit der realität konfrontiert zu werden ist schon ein wenig unmenschlich, find ich 😉😇"
1.0,USRTOK warum veröffentlicht ihr keine bilder von linken anarchisten?die gibt es zuhauf!aber ihr seit nur ein unterstützer dieser horden!
1.0,#mobbing an schulen setzt sich jetzt in der politik fort |lbr| altparteien sprechen alle nicht mit der #afd sondern nur abfällig(nazi) über sie
